path,layer,extension,line_count,size_bytes,work_package
.gitignore,repository,none,11,119,
ATTRIBUTION.md,repository,md,41,1919,
README.md,repository,md,111,5079,
config/.env.example,configuration,example,119,5423,WP11_agent_deployment_config
config/README.md,configuration,md,96,5091,WP11_agent_deployment_config
config/connections/connection-managers.yaml,configuration,yaml,115,5721,WP11_agent_deployment_config
config/environments/dev.env.yaml,configuration,yaml,89,6085,WP11_agent_deployment_config
config/environments/prod.env.yaml,configuration,yaml,83,5921,WP11_agent_deployment_config
config/environments/test.env.yaml,configuration,yaml,82,5822,WP11_agent_deployment_config
config/estate-catalog.yaml,configuration,yaml,3212,121995,WP11_agent_deployment_config
config/landing-zone.yaml,configuration,yaml,116,5400,WP11_agent_deployment_config
deployment/README.md,deployment,md,117,5978,WP11_agent_deployment_config
deployment/deploy-all.ps1,deployment,ps1,92,3059,WP11_agent_deployment_config
deployment/deploy-all.sh,deployment,sh,88,3207,WP11_agent_deployment_config
deployment/lib/Common.ps1,deployment,ps1,92,3063,WP11_agent_deployment_config
deployment/lib/common.sh,deployment,sh,86,2936,WP11_agent_deployment_config
deployment/oracle/Deploy-Oracle.ps1,deployment,ps1,180,7653,WP11_agent_deployment_config
deployment/oracle/deploy-oracle.sh,deployment,sh,239,8930,WP11_agent_deployment_config
deployment/preflight/Preflight.ps1,deployment,ps1,114,5327,WP11_agent_deployment_config
deployment/preflight/preflight.sh,deployment,sh,110,4282,WP11_agent_deployment_config
deployment/sqlserver/Deploy-SqlServer.ps1,deployment,ps1,233,10589,WP11_agent_deployment_config
deployment/sqlserver/deploy-sqlserver.sh,deployment,sh,231,9510,WP11_agent_deployment_config
deployment/ssis/Build-SsisProject.ps1,deployment,ps1,174,8379,WP11_agent_deployment_config
deployment/ssis/Deploy-SsisCatalog.ps1,deployment,ps1,149,6092,WP11_agent_deployment_config
deployment/ssis/Deploy-SsisEnvironment.ps1,deployment,ps1,77,2917,WP11_agent_deployment_config
deployment/ssis/deploy-ssis.sh,deployment,sh,130,5457,WP11_agent_deployment_config
deployment/ssis/environments/dev_environment.sql,deployment,sql,3912,161379,WP11_agent_deployment_config
deployment/ssis/environments/prod_environment.sql,deployment,sql,3912,161879,WP11_agent_deployment_config
deployment/ssis/environments/test_environment.sql,deployment,sql,3912,161947,WP11_agent_deployment_config
deployment/ssis/render_environment_sql.py,deployment,py,265,9922,WP11_agent_deployment_config
docs/ESTATE_BUILD_CONTRACT.md,documentation,md,175,8935,
docs/architecture/legacy-architecture.md,documentation,md,263,13153,WP13_validation_docs
docs/dependency-maps/etl-dependency-map.md,documentation,md,136,6398,WP13_validation_docs
docs/domain-model/business-domains.md,documentation,md,224,11904,WP13_validation_docs
docs/inventories/artifacts.csv,documentation,csv,2164,195147,
