upstream_package,downstream_package,edge_type,criticality
AGG_Refresh_Customer360,C360_Publish_Segments,data:Aggregate.Customer 360,medium
AGG_Refresh_CustomerRolling12Month,C360_Build_ChurnFlags,data:Aggregate.Customer Rolling 12 Month,medium
C360_Build_CustomerProfile,C360_Publish_Segments,data:Aggregate.Customer 360,medium
C360_Build_LoyaltyOverlay,C360_Publish_Segments,data:Aggregate.Customer 360,medium
C360_Build_RollingMetrics,C360_Build_ChurnFlags,data:Aggregate.Customer Rolling 12 Month,medium
DIM_Rekey_LateArriving,AGG_Refresh_Customer360,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_CustomerRolling12Month,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_DailyInventoryHealth,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_DailySalesSummary,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_DeliveryPerformanceSummary,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_FinanceCloseSummary,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_MonthlyMarginAnalysis,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_MonthlySalesSummary,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_ProductPerformance,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_PromotionEffectiveness,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_RegionalSalesPerformance,data:Fact.*,medium
DIM_Rekey_LateArriving,AGG_Refresh_SupplierPerformance,data:Fact.*,medium
DQ_Referential_Screen,DQ_Reject_Reprocess,data:err.RejectedLookupFailure,high
DQ_Reject_Reprocess,DQ_OrderLine_Screen,data:stg.OrderLine,high
DQ_Reject_Reprocess,DQ_Referential_Screen,data:stg.OrderLine,high
ERR_Handle_PackageFailure,ERR_Notify_Operations,data:etl.ErrorLog,high
ERR_Handle_PackageFailure,ERR_Quarantine_BadFiles,data:etl.ErrorLog,high
ERR_Handle_PackageFailure,ERR_Reconcile_RowCounts,data:etl.ErrorLog,high
ERR_Handle_PackageFailure,ERR_Retry_FailedSteps,data:etl.ErrorLog,high
ERR_Handle_PackageFailure,ERR_Route_RejectedRows,data:etl.ErrorLog,high
ERR_Notify_Operations,ERR_Handle_PackageFailure,data:etl.ErrorLog,high
ERR_Notify_Operations,ERR_Quarantine_BadFiles,data:etl.ErrorLog,high
ERR_Notify_Operations,ERR_Reconcile_RowCounts,data:etl.ErrorLog,high
ERR_Notify_Operations,ERR_Retry_FailedSteps,data:etl.ErrorLog,high
ERR_Notify_Operations,ERR_Route_RejectedRows,data:etl.ErrorLog,high
ERR_Quarantine_BadFiles,ERR_Handle_PackageFailure,data:etl.ErrorLog,high
ERR_Quarantine_BadFiles,ERR_Notify_Operations,data:etl.ErrorLog,high
ERR_Quarantine_BadFiles,ERR_Reconcile_RowCounts,data:etl.ErrorLog,high
ERR_Quarantine_BadFiles,ERR_Retry_FailedSteps,data:etl.ErrorLog,high
ERR_Quarantine_BadFiles,ERR_Route_RejectedRows,data:etl.ErrorLog,high
ERR_Reconcile_RowCounts,ERR_Handle_PackageFailure,data:etl.ErrorLog,high
ERR_Reconcile_RowCounts,ERR_Notify_Operations,data:etl.ErrorLog,high
ERR_Reconcile_RowCounts,ERR_Quarantine_BadFiles,data:etl.ErrorLog,high
ERR_Reconcile_RowCounts,ERR_Retry_FailedSteps,data:etl.ErrorLog,high
ERR_Reconcile_RowCounts,ERR_Route_RejectedRows,data:etl.ErrorLog,high
ERR_Retry_FailedSteps,ERR_Handle_PackageFailure,data:etl.ErrorLog,high
ERR_Retry_FailedSteps,ERR_Notify_Operations,data:etl.ErrorLog,high
ERR_Retry_FailedSteps,ERR_Quarantine_BadFiles,data:etl.ErrorLog,high
ERR_Retry_FailedSteps,ERR_Reconcile_RowCounts,data:etl.ErrorLog,high
ERR_Retry_FailedSteps,ERR_Route_RejectedRows,data:etl.ErrorLog,high
ERR_Route_RejectedRows,ERR_Handle_PackageFailure,data:etl.ErrorLog,high
ERR_Route_RejectedRows,ERR_Notify_Operations,data:etl.ErrorLog,high
ERR_Route_RejectedRows,ERR_Quarantine_BadFiles,data:etl.ErrorLog,high
ERR_Route_RejectedRows,ERR_Reconcile_RowCounts,data:etl.ErrorLog,high
ERR_Route_RejectedRows,ERR_Retry_FailedSteps,data:etl.ErrorLog,high
EXT_ORA_ApAging,STG_Load_ApInvoice,data:raw.OracleApInvoiceHdr,high
EXT_ORA_ApInvoiceHdr,STG_Load_ApInvoice,data:raw.OracleApInvoiceHdr,high
EXT_ORA_ApInvoiceLine,STG_Load_ApInvoice,data:raw.OracleApInvoiceLine,high
EXT_ORA_ApPayment,STG_Load_Payment,data:raw.OracleApPayment,high
EXT_ORA_ApPaymentApply,STG_Load_Payment,data:raw.OracleApPayment,high
EXT_ORA_CodeTranslation,STG_Load_Customer,data:raw.OracleCustomerMaster,medium
EXT_ORA_CostCenter,STG_Load_CostCenter,data:raw.OracleCostCenter,medium
EXT_ORA_Currency,STG_Load_Currency,data:raw.OracleCurrency,medium
EXT_ORA_CustomerAddress,STG_Load_CustomerAddress,data:raw.OracleCustomerAddress,medium
EXT_ORA_CustomerMaster,STG_Load_Customer,data:raw.OracleCustomerMaster,medium
EXT_ORA_FxRateDaily,STG_Load_Currency,data:raw.OracleFxRate,medium
EXT_ORA_Geography,STG_Load_Geography,data:raw.OracleGeography,medium
EXT_ORA_GlJournalLine,STG_Load_GlJournal,data:raw.OracleGlJournalLine,high
EXT_ORA_PaymentTerms,STG_Load_TaxAndTerms,data:raw.OraclePaymentTerms,medium
EXT_ORA_ProductHierarchy,STG_Load_Product,data:raw.OracleProductMaster,medium
EXT_ORA_ProductMaster,STG_Load_Product,data:raw.OracleProductMaster,medium
EXT_ORA_PurchaseOrderHdr,STG_Load_PurchaseOrder,data:raw.OraclePurchaseOrderHdr,high
EXT_ORA_PurchaseOrderLine,STG_Load_PurchaseOrder,data:raw.OraclePurchaseOrderLine,high
EXT_ORA_SupplierMaster,STG_Load_Supplier,data:raw.OracleSupplierMaster,medium
EXT_ORA_TaxRate,STG_Load_TaxAndTerms,data:raw.OracleTaxRate,medium
EXT_ORA_VendorContract,STG_Load_VendorContract,data:raw.OracleVendorContract,medium
EXT_SQL_Cities,STG_Load_Geography,data:raw.OracleGeography,medium
EXT_SQL_CreditNotes,STG_Load_ReturnAndCredit,data:raw.SqlCreditNote,high
EXT_SQL_CustomerSegments,STG_Load_Employee,data:raw.SqlOrder,medium
EXT_SQL_CustomerSegments,STG_Load_Order,data:raw.SqlOrder,high
EXT_SQL_CustomerSegments,STG_Load_PromotionAndTerritory,data:raw.SqlOrder,medium
EXT_SQL_CustomerTransactions,STG_Load_Sale,data:raw.SqlInvoice,high
EXT_SQL_InvoiceLines,STG_Load_Sale,data:raw.SqlInvoiceLine,high
EXT_SQL_Invoices,STG_Load_Sale,data:raw.SqlInvoice,high
EXT_SQL_LoyaltyLedger,STG_Load_LoyaltyLedger,data:raw.SqlLoyaltyLedger,high
EXT_SQL_OrderLines,STG_Load_Order,data:raw.SqlOrderLine,high
EXT_SQL_Orders,STG_Load_Employee,data:raw.SqlOrder,medium
EXT_SQL_Orders,STG_Load_Order,data:raw.SqlOrder,high
EXT_SQL_Orders,STG_Load_PromotionAndTerritory,data:raw.SqlOrder,medium
EXT_SQL_PaymentMethods,STG_Load_Sale,data:raw.SqlInvoice,high
EXT_SQL_People,STG_Load_Employee,data:raw.SqlOrder,medium
EXT_SQL_People,STG_Load_Order,data:raw.SqlOrder,high
EXT_SQL_People,STG_Load_PromotionAndTerritory,data:raw.SqlOrder,medium
EXT_SQL_Promotions,STG_Load_Employee,data:raw.SqlOrder,medium
EXT_SQL_Promotions,STG_Load_Order,data:raw.SqlOrder,high
EXT_SQL_Promotions,STG_Load_PromotionAndTerritory,data:raw.SqlOrder,medium
EXT_SQL_Returns,STG_Load_ReturnAndCredit,data:raw.SqlReturnLine,high
EXT_SQL_SalesTerritories,STG_Load_Employee,data:raw.SqlOrder,medium
EXT_SQL_SalesTerritories,STG_Load_Order,data:raw.SqlOrder,high
EXT_SQL_SalesTerritories,STG_Load_PromotionAndTerritory,data:raw.SqlOrder,medium
EXT_SQL_ShipmentLines,STG_Load_Shipment,data:raw.SqlShipmentLine,high
EXT_SQL_Shipments,STG_Load_Shipment,data:raw.SqlShipment,high
EXT_SQL_StockItems,STG_Load_StockItem,data:raw.SqlStockItem,medium
EXT_SQL_StockMovements,STG_Load_StockMovement,data:raw.SqlStockMovement,high
EXT_SQL_StockTransfers,STG_Load_StockMovement,data:raw.SqlStockMovement,high
EXT_SQL_SupplierTransactions,STG_Load_Sale,data:raw.SqlInvoice,high
EXT_SQL_TransactionTypes,STG_Load_Sale,data:raw.SqlInvoice,high
EXT_SQL_WebSessions,STG_Load_WebSession,data:raw.SqlWebSession,high
FACT_APAC_Load_Sale,C360_Build_CustomerProfile,data:Fact.Sale,medium
FACT_APAC_Load_Sale,C360_Build_RollingMetrics,data:Fact.Sale,medium
FACT_APAC_Load_Sale,FACT_Dedup_Sale,data:Fact.Sale,medium
FACT_APAC_Load_Sale,SLS_Export_PartnerFeed,data:Fact.Sale,medium
FACT_Apply_Corrections,C360_Build_CustomerProfile,data:Fact.Payment,medium
FACT_Apply_Corrections,C360_Build_CustomerProfile,data:Fact.Sale,medium
FACT_Apply_Corrections,C360_Build_RollingMetrics,data:Fact.Sale,medium
FACT_Apply_Corrections,FACT_Dedup_Sale,data:Fact.Sale,medium
FACT_Apply_Corrections,FIN_Reconcile_SubledgerToGl,data:Fact.Payment,high
FACT_Apply_Corrections,SLS_Export_PartnerFeed,data:Fact.Sale,medium
FACT_Dedup_Sale,C360_Build_CustomerProfile,data:Fact.Sale,medium
FACT_Dedup_Sale,C360_Build_RollingMetrics,data:Fact.Sale,medium
FACT_Dedup_Sale,SLS_Export_PartnerFeed,data:Fact.Sale,medium
FACT_EU_Load_Sale,C360_Build_CustomerProfile,data:Fact.Sale,medium
FACT_EU_Load_Sale,C360_Build_RollingMetrics,data:Fact.Sale,medium
FACT_EU_Load_Sale,FACT_Dedup_Sale,data:Fact.Sale,medium
FACT_EU_Load_Sale,SLS_Export_PartnerFeed,data:Fact.Sale,medium
FACT_Load_GLPosting,FIN_Reconcile_SubledgerToGl,data:Fact.GL Posting,high
FACT_Load_LoyaltyPoints,C360_Build_LoyaltyOverlay,data:Fact.Loyalty Points,medium
FACT_Load_Payment,C360_Build_CustomerProfile,data:Fact.Payment,medium
FACT_Load_Payment,FIN_Reconcile_SubledgerToGl,data:Fact.Payment,high
FACT_Load_StockHolding,INV_Reconcile_OnHand,data:Fact.Stock Holding,medium
FACT_Load_SupplierTransaction,PRC_Export_SupplierStatement,data:Fact.Supplier Transaction,medium
FACT_NA_Load_Sale,C360_Build_CustomerProfile,data:Fact.Sale,medium
FACT_NA_Load_Sale,C360_Build_RollingMetrics,data:Fact.Sale,medium
FACT_NA_Load_Sale,FACT_Dedup_Sale,data:Fact.Sale,medium
FACT_NA_Load_Sale,SLS_Export_PartnerFeed,data:Fact.Sale,medium
FIN_Currency_Revaluation,C360_Build_CustomerProfile,data:Fact.Payment,medium
FIN_Currency_Revaluation,FIN_Reconcile_SubledgerToGl,data:Fact.Payment,high
FIN_Load_ApAging,C360_Build_CustomerProfile,data:Fact.Payment,medium
FIN_Load_ApAging,FIN_Reconcile_SubledgerToGl,data:Fact.Payment,high
FIN_Load_GlPostings,FIN_Reconcile_SubledgerToGl,data:Fact.GL Posting,high
FIN_Load_WithholdingTax,C360_Build_CustomerProfile,data:Fact.Payment,medium
