package,folder,source_system,source_object,target_system,target_object,load_type
AGG_Publish_ReportingLayer,09_aggregates,SQL Server DW,Aggregate.*,SQL Server DW,Report.*,publish
AGG_Refresh_Customer360,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Customer 360,aggregate_rebuild
AGG_Refresh_Customer360,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Customer 360,aggregate_rebuild
AGG_Refresh_CustomerRolling12Month,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Customer Rolling 12 Month,aggregate_rebuild
AGG_Refresh_CustomerRolling12Month,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Customer Rolling 12 Month,aggregate_rebuild
AGG_Refresh_DailyInventoryHealth,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Daily Inventory Health,aggregate_rebuild
AGG_Refresh_DailyInventoryHealth,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Daily Inventory Health,aggregate_rebuild
AGG_Refresh_DailySalesSummary,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Daily Sales Summary,aggregate_rebuild
AGG_Refresh_DailySalesSummary,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Daily Sales Summary,aggregate_rebuild
AGG_Refresh_DeliveryPerformanceSummary,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Delivery Performance Summary,aggregate_rebuild
AGG_Refresh_DeliveryPerformanceSummary,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Delivery Performance Summary,aggregate_rebuild
AGG_Refresh_FinanceCloseSummary,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Finance Close Summary,aggregate_rebuild
AGG_Refresh_FinanceCloseSummary,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Finance Close Summary,aggregate_rebuild
AGG_Refresh_MonthlyMarginAnalysis,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Monthly Margin Analysis,aggregate_rebuild
AGG_Refresh_MonthlyMarginAnalysis,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Monthly Margin Analysis,aggregate_rebuild
AGG_Refresh_MonthlySalesSummary,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Monthly Sales Summary,aggregate_rebuild
AGG_Refresh_MonthlySalesSummary,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Monthly Sales Summary,aggregate_rebuild
AGG_Refresh_ProductPerformance,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Product Performance,aggregate_rebuild
AGG_Refresh_ProductPerformance,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Product Performance,aggregate_rebuild
AGG_Refresh_PromotionEffectiveness,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Promotion Effectiveness,aggregate_rebuild
AGG_Refresh_PromotionEffectiveness,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Promotion Effectiveness,aggregate_rebuild
AGG_Refresh_RegionalSalesPerformance,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Regional Sales Performance,aggregate_rebuild
AGG_Refresh_RegionalSalesPerformance,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Regional Sales Performance,aggregate_rebuild
AGG_Refresh_SupplierPerformance,09_aggregates,SQL Server DW,Dimension.*,SQL Server DW,Aggregate.Supplier Performance,aggregate_rebuild
AGG_Refresh_SupplierPerformance,09_aggregates,SQL Server DW,Fact.*,SQL Server DW,Aggregate.Supplier Performance,aggregate_rebuild
C360_Build_ChurnFlags,14_customer_360,SQL Server DW,Aggregate.Customer Rolling 12 Month,SQL Server DW,Report.vw_CustomerChurnRisk,business_rule
C360_Build_CustomerProfile,14_customer_360,SQL Server DW,Fact.Payment,SQL Server DW,Aggregate.Customer 360,business_rule
C360_Build_CustomerProfile,14_customer_360,SQL Server DW,Fact.Sale,SQL Server DW,Aggregate.Customer 360,business_rule
C360_Build_LoyaltyOverlay,14_customer_360,SQL Server DW,Fact.Loyalty Points,SQL Server DW,Aggregate.Customer 360,business_rule
C360_Build_RollingMetrics,14_customer_360,SQL Server DW,Fact.Sale,SQL Server DW,Aggregate.Customer Rolling 12 Month,business_rule
C360_Publish_Segments,14_customer_360,SQL Server DW,Aggregate.Customer 360,SQL Server DW,Dimension.Customer Segment,business_rule
DIM_APAC_Load_Customer,07_dimensions,SQL Server Staging,stg.Customer,SQL Server DW,Dimension.Customer,SCD2
DIM_EU_Load_Customer,07_dimensions,SQL Server Staging,stg.Customer,SQL Server DW,Dimension.Customer,SCD2
DIM_Load_City,07_dimensions,SQL Server Staging,stg.City,SQL Server DW,Dimension.City,SCD2
DIM_Load_CustomerCategory,07_dimensions,SQL Server Staging,stg.CustomerCategory,SQL Server DW,Dimension.Customer Category,SCD1
DIM_Load_CustomerSegment,07_dimensions,SQL Server Staging,stg.CustomerSegment,SQL Server DW,Dimension.Customer Segment,SCD2
DIM_Load_Employee,07_dimensions,SQL Server Staging,stg.Employee,SQL Server DW,Dimension.Employee,SCD2
DIM_Load_ProductCategory,07_dimensions,SQL Server Staging,stg.ProductCategory,SQL Server DW,Dimension.Product Category,SCD1
DIM_Load_Promotion,07_dimensions,SQL Server Staging,stg.Promotion,SQL Server DW,Dimension.Promotion,SCD2
DIM_Load_SalesTerritory,07_dimensions,SQL Server Staging,stg.SalesTerritory,SQL Server DW,Dimension.Sales Territory,SCD1
DIM_Load_Salesperson,07_dimensions,SQL Server Staging,stg.Salesperson,SQL Server DW,Dimension.Salesperson,SCD2
DIM_Load_StockItem,07_dimensions,SQL Server Staging,stg.StockItem,SQL Server DW,Dimension.Stock Item,SCD2
DIM_Load_Supplier,07_dimensions,SQL Server Staging,stg.Supplier,SQL Server DW,Dimension.Supplier,SCD2
DIM_Load_VendorContract,07_dimensions,SQL Server Staging,stg.VendorContract,SQL Server DW,Dimension.Vendor Contract,SCD2
DIM_NA_Load_Customer,07_dimensions,SQL Server Staging,stg.Customer,SQL Server DW,Dimension.Customer,SCD2
DIM_Rekey_LateArriving,07_dimensions,SQL Server Staging,work.LateArrivingDimensionQueue,SQL Server DW,Fact.*,rekey
DQ_Customer_Screen,05_data_quality,SQL Server Staging,stg.Customer,SQL Server Staging,err.RejectedCustomer,quality_screen
DQ_File_Screen,05_data_quality,SQL Server Staging,raw.FilePartnerSales,SQL Server Staging,err.RejectedFileRow,quality_screen
DQ_InvoiceLine_Screen,05_data_quality,SQL Server Staging,stg.SaleLine,SQL Server Staging,err.RejectedInvoiceLine,quality_screen
DQ_OrderLine_Screen,05_data_quality,SQL Server Staging,stg.OrderLine,SQL Server Staging,err.RejectedOrderLine,quality_screen
DQ_Payment_Screen,05_data_quality,SQL Server Staging,stg.Payment,SQL Server Staging,err.RejectedPayment,quality_screen
DQ_Referential_Screen,05_data_quality,SQL Server Staging,stg.OrderLine,SQL Server Staging,err.RejectedLookupFailure,quality_screen
DQ_Referential_Screen,05_data_quality,SQL Server Staging,stg.SaleLine,SQL Server Staging,err.RejectedLookupFailure,quality_screen
DQ_Reject_Reprocess,05_data_quality,SQL Server Staging,err.RejectedLookupFailure,SQL Server Staging,stg.OrderLine,quality_screen
DQ_Rule_Engine,05_data_quality,SQL Server Staging,etl.DataQualityRule,SQL Server Staging,etl.DataQualityResult,quality_screen
DQ_Supplier_Screen,05_data_quality,SQL Server Staging,stg.Supplier,SQL Server Staging,err.RejectedSupplier,quality_screen
DQ_Threshold_Gate,05_data_quality,SQL Server Staging,etl.RowCountAudit,SQL Server Staging,etl.ReconciliationResult,quality_screen
ERR_Handle_PackageFailure,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,etl.ErrorLog,utility
ERR_Handle_PackageFailure,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,file:errors,utility
ERR_Handle_PackageFailure,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,etl.ErrorLog,utility
ERR_Handle_PackageFailure,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,file:errors,utility
ERR_Notify_Operations,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,etl.ErrorLog,utility
ERR_Notify_Operations,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,file:errors,utility
ERR_Notify_Operations,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,etl.ErrorLog,utility
ERR_Notify_Operations,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,file:errors,utility
ERR_Quarantine_BadFiles,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,etl.ErrorLog,utility
ERR_Quarantine_BadFiles,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,file:errors,utility
ERR_Quarantine_BadFiles,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,etl.ErrorLog,utility
ERR_Quarantine_BadFiles,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,file:errors,utility
ERR_Reconcile_RowCounts,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,etl.ErrorLog,utility
ERR_Reconcile_RowCounts,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,file:errors,utility
ERR_Reconcile_RowCounts,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,etl.ErrorLog,utility
ERR_Reconcile_RowCounts,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,file:errors,utility
ERR_Retry_FailedSteps,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,etl.ErrorLog,utility
ERR_Retry_FailedSteps,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,file:errors,utility
ERR_Retry_FailedSteps,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,etl.ErrorLog,utility
ERR_Retry_FailedSteps,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,file:errors,utility
ERR_Route_RejectedRows,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,etl.ErrorLog,utility
ERR_Route_RejectedRows,15_error_handling,SQL Server Staging,err.*,SQL Server Staging,file:errors,utility
ERR_Route_RejectedRows,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,etl.ErrorLog,utility
ERR_Route_RejectedRows,15_error_handling,SQL Server Staging,etl.ErrorLog,SQL Server Staging,file:errors,utility
EXT_ORA_ApAging,01_oracle_extract,Oracle,WWI_FIN.AP_AGING_SNAPSHOT,SQL Server Staging,raw.OracleApInvoiceHdr,full
EXT_ORA_ApInvoiceHdr,01_oracle_extract,Oracle,WWI_FIN.AP_INVOICE_HDR,SQL Server Staging,raw.OracleApInvoiceHdr,incremental_timestamp
EXT_ORA_ApInvoiceLine,01_oracle_extract,Oracle,WWI_FIN.AP_INVOICE_LINE,SQL Server Staging,raw.OracleApInvoiceLine,incremental_key
EXT_ORA_ApPayment,01_oracle_extract,Oracle,WWI_FIN.AP_PAYMENT,SQL Server Staging,raw.OracleApPayment,incremental_timestamp
EXT_ORA_ApPaymentApply,01_oracle_extract,Oracle,WWI_FIN.AP_PAYMENT_APPLY,SQL Server Staging,raw.OracleApPayment,incremental_key
EXT_ORA_CodeTranslation,01_oracle_extract,Oracle,WWI_REF.CODE_TRANSLATION,SQL Server Staging,raw.OracleCustomerMaster,full
EXT_ORA_CostCenter,01_oracle_extract,Oracle,WWI_FIN.COST_CENTER,SQL Server Staging,raw.OracleCostCenter,full
EXT_ORA_Currency,01_oracle_extract,Oracle,WWI_REF.CURRENCY_CODE,SQL Server Staging,raw.OracleCurrency,full
EXT_ORA_CustomerAddress,01_oracle_extract,Oracle,WWI_MDM.CUST_ADDRESS,SQL Server Staging,raw.OracleCustomerAddress,incremental_timestamp
EXT_ORA_CustomerMaster,01_oracle_extract,Oracle,WWI_MDM.CUST_MASTER,SQL Server Staging,raw.OracleCustomerMaster,incremental_timestamp
EXT_ORA_FxRateDaily,01_oracle_extract,Oracle,WWI_REF.FX_RATE_DAILY,SQL Server Staging,raw.OracleFxRate,date_window
EXT_ORA_Geography,01_oracle_extract,Oracle,WWI_REF.V_GEOGRAPHY_EXTRACT,SQL Server Staging,raw.OracleGeography,full
EXT_ORA_GlJournalLine,01_oracle_extract,Oracle,WWI_FIN.GL_JOURNAL_LINE,SQL Server Staging,raw.OracleGlJournalLine,date_window
EXT_ORA_PaymentTerms,01_oracle_extract,Oracle,WWI_FIN.PAYMENT_TERMS,SQL Server Staging,raw.OraclePaymentTerms,full
EXT_ORA_ProductHierarchy,01_oracle_extract,Oracle,WWI_MDM.PRODUCT_HIERARCHY,SQL Server Staging,raw.OracleProductMaster,full
EXT_ORA_ProductMaster,01_oracle_extract,Oracle,WWI_MDM.PRODUCT_MASTER,SQL Server Staging,raw.OracleProductMaster,incremental_timestamp
EXT_ORA_PurchaseOrderHdr,01_oracle_extract,Oracle,WWI_PROC.PURCHASE_ORDER_HDR,SQL Server Staging,raw.OraclePurchaseOrderHdr,incremental_timestamp
EXT_ORA_PurchaseOrderLine,01_oracle_extract,Oracle,WWI_PROC.PURCHASE_ORDER_LINE,SQL Server Staging,raw.OraclePurchaseOrderLine,incremental_key
EXT_ORA_ReceiptLine,01_oracle_extract,Oracle,WWI_PROC.PO_RECEIPT_LINE,SQL Server Staging,raw.OracleReceiptLine,incremental_key
