package,folder,step_order,step_type,step_name,component,connection,direction,object,layer,system,declared,via
AGG_Publish_ReportingLayer,09_aggregates,2,Microsoft.ExecuteSQLTask,Log Package Start,,,exec,ETL.USP_LOGPACKAGESTART,etl-control,ETL control,False,direct
AGG_Publish_ReportingLayer,09_aggregates,4,Microsoft.ExecuteSQLTask,Check Aggregate Staleness,,,read,ETL.WATERMARK,etl-control,ETL control,True,direct
AGG_Publish_ReportingLayer,09_aggregates,6,Microsoft.ExecuteSQLTask,Build Publication Statements,,,read,INTEGRATION.REPORTINGPUBLICATION,dw-integration,SQL Server DW,False,direct
AGG_Publish_ReportingLayer,09_aggregates,8,Microsoft.ExecuteSQLTask,Stamp Publication Metadata,,,write,INTEGRATION.REPORTINGPUBLICATION,dw-integration,SQL Server DW,False,direct
AGG_Publish_ReportingLayer,09_aggregates,9,Microsoft.ExecuteSQLTask,Quarantine Stale Publications,,,read,ETL.WATERMARK,etl-control,ETL control,True,direct
AGG_Publish_ReportingLayer,09_aggregates,9,Microsoft.ExecuteSQLTask,Quarantine Stale Publications,,,write,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,SQL Server Staging,True,direct
AGG_Publish_ReportingLayer,09_aggregates,10,Microsoft.ExecuteSQLTask,Publish Reporting Layer,,,exec,INTEGRATION.PUBLISHREPORTINGLAYER,dw-integration,SQL Server DW,False,direct
AGG_Publish_ReportingLayer,09_aggregates,11,Microsoft.ExecuteSQLTask,Assert Reconciliation,,,exec,ETL.USP_ASSERTROWCOUNTRECONCILIATION,etl-control,ETL control,False,direct
AGG_Publish_ReportingLayer,09_aggregates,12,Microsoft.ExecuteSQLTask,Log Rejected Records,,,exec,ETL.USP_LOGREJECTEDRECORD,etl-control,ETL control,False,direct
AGG_Publish_ReportingLayer,09_aggregates,13,Microsoft.ExecuteSQLTask,Log Row Counts,,,exec,ETL.USP_LOGROWCOUNT,etl-control,ETL control,False,direct
AGG_Publish_ReportingLayer,09_aggregates,14,Microsoft.ExecuteSQLTask,Log Package Success,,,exec,ETL.USP_LOGPACKAGEEND,etl-control,ETL control,False,direct
AGG_Publish_ReportingLayer,09_aggregates,15,Microsoft.ExecuteSQLTask,Log Error,,,exec,ETL.USP_LOGERROR,etl-control,ETL control,False,direct
AGG_Publish_ReportingLayer,09_aggregates,16,Microsoft.ExecuteSQLTask,Mark Execution Failed,,,exec,ETL.USP_LOGPACKAGEEND,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,2,Microsoft.ExecuteSQLTask,Log Package Start,,,exec,ETL.USP_LOGPACKAGESTART,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,3,Microsoft.ExecuteSQLTask,Truncate Customer 360,,,write,AGGREGATE.CUSTOMER 360,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Customer Profile Source,WWI_DW_Destination_DB,read,AGGREGATE.CUSTOMER AR POSITION,dw-aggregate,SQL Server DW,False,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Customer Profile Source,WWI_DW_Destination_DB,read,AGGREGATE.CUSTOMER LOYALTY POSITION,dw-aggregate,SQL Server DW,False,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Customer Profile Source,WWI_DW_Destination_DB,read,AGGREGATE.CUSTOMER WEB POSITION,dw-aggregate,SQL Server DW,False,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Customer Profile Source,WWI_DW_Destination_DB,read,DIMENSION.CUSTOMER,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Customer Profile Source,WWI_DW_Destination_DB,read,DIMENSION.DATE,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Customer Profile Source,WWI_DW_Destination_DB,read,FACT.SALE,dw-fact,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Reject Source Errors,WWI_Staging_DB,write,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,SQL Server Staging,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Insert Active Customers,WWI_DW_Destination_DB,write,AGGREGATE.CUSTOMER 360,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Insert Erased Customers,WWI_DW_Destination_DB,write,AGGREGATE.CUSTOMER 360,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Insert No Purchase History,WWI_DW_Destination_DB,write,AGGREGATE.CUSTOMER 360,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_Customer360,09_aggregates,4,Microsoft.Pipeline,Rebuild Customer 360,Reject Inactive Customers,WWI_Staging_DB,write,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,SQL Server Staging,True,direct
AGG_Refresh_Customer360,09_aggregates,5,Microsoft.ExecuteSQLTask,Score Customer Profiles,,,exec,INTEGRATION.REFRESHAGGREGATECUSTOMER360,dw-integration,SQL Server DW,False,direct
AGG_Refresh_Customer360,09_aggregates,6,Microsoft.ExecuteSQLTask,Assert Reconciliation,,,exec,ETL.USP_ASSERTROWCOUNTRECONCILIATION,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,7,Microsoft.ExecuteSQLTask,Log Rejected Records,,,exec,ETL.USP_LOGREJECTEDRECORD,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,8,Microsoft.ExecuteSQLTask,Log Row Counts,,,exec,ETL.USP_LOGROWCOUNT,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,9,Microsoft.ExecuteSQLTask,Log Package Success,,,exec,ETL.USP_LOGPACKAGEEND,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,10,Microsoft.ExecuteSQLTask,Log Error,,,exec,ETL.USP_LOGERROR,etl-control,ETL control,False,direct
AGG_Refresh_Customer360,09_aggregates,11,Microsoft.ExecuteSQLTask,Mark Execution Failed,,,exec,ETL.USP_LOGPACKAGEEND,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,2,Microsoft.ExecuteSQLTask,Log Package Start,,,exec,ETL.USP_LOGPACKAGESTART,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,3,Microsoft.ExecuteSQLTask,Delete Rolling Window Periods,,,read,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,3,Microsoft.ExecuteSQLTask,Delete Rolling Window Periods,,,write,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Rolling Window Source,WWI_DW_Destination_DB,read,AGGREGATE.CUSTOMER RETURN POSITION,dw-aggregate,SQL Server DW,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Rolling Window Source,WWI_DW_Destination_DB,read,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Rolling Window Source,WWI_DW_Destination_DB,read,AGGREGATE.PERIOD CALENDAR,dw-aggregate,SQL Server DW,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Rolling Window Source,WWI_DW_Destination_DB,read,DIMENSION.CUSTOMER,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Rolling Window Source,WWI_DW_Destination_DB,read,DIMENSION.DATE,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Rolling Window Source,WWI_DW_Destination_DB,read,FACT.SALE,dw-fact,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Reject Source Errors,WWI_Staging_DB,write,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,SQL Server Staging,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Insert Established Customers,WWI_DW_Destination_DB,write,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Insert New Customers,WWI_DW_Destination_DB,write,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,4,Microsoft.Pipeline,Rebuild Rolling 12 Month,Insert Churn Risk,WWI_DW_Destination_DB,write,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,5,Microsoft.ExecuteSQLTask,Refresh Rolling Customer Scores,,,exec,INTEGRATION.REFRESHAGGREGATECUSTOMER360,dw-integration,SQL Server DW,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,6,Microsoft.ExecuteSQLTask,Assert Reconciliation,,,exec,ETL.USP_ASSERTROWCOUNTRECONCILIATION,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,7,Microsoft.ExecuteSQLTask,Log Rejected Records,,,exec,ETL.USP_LOGREJECTEDRECORD,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,8,Microsoft.ExecuteSQLTask,Log Row Counts,,,exec,ETL.USP_LOGROWCOUNT,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,9,Microsoft.ExecuteSQLTask,Log Package Success,,,exec,ETL.USP_LOGPACKAGEEND,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,10,Microsoft.ExecuteSQLTask,Log Error,,,exec,ETL.USP_LOGERROR,etl-control,ETL control,False,direct
AGG_Refresh_CustomerRolling12Month,09_aggregates,11,Microsoft.ExecuteSQLTask,Mark Execution Failed,,,exec,ETL.USP_LOGPACKAGEEND,etl-control,ETL control,False,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,2,Microsoft.ExecuteSQLTask,Log Package Start,,,exec,ETL.USP_LOGPACKAGESTART,etl-control,ETL control,False,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,3,Microsoft.ExecuteSQLTask,Delete Refresh Window,,,read,AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,3,Microsoft.ExecuteSQLTask,Delete Refresh Window,,,read,DIMENSION.DATE,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,3,Microsoft.ExecuteSQLTask,Delete Refresh Window,,,write,AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Fact Daily Inventory Snapshot Window,WWI_DW_Destination_DB,read,DIMENSION.DATE,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Fact Daily Inventory Snapshot Window,WWI_DW_Destination_DB,read,DIMENSION.STOCK ITEM,dw-dimension,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Fact Daily Inventory Snapshot Window,WWI_DW_Destination_DB,read,FACT.DAILY INVENTORY SNAPSHOT,dw-fact,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Reject Source Errors,WWI_Staging_DB,write,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,SQL Server Staging,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Insert Standard Rows,WWI_DW_Destination_DB,write,AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Insert Red Rated Rows,WWI_DW_Destination_DB,write,AGGREGATE.DAILY INVENTORY HEALTH,dw-aggregate,SQL Server DW,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,4,Microsoft.Pipeline,Rebuild Inventory Health,Reject Empty Warehouses,WWI_Staging_DB,write,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,SQL Server Staging,True,direct
AGG_Refresh_DailyInventoryHealth,09_aggregates,5,Microsoft.ExecuteSQLTask,Refresh Inventory Health Bands,,,exec,INTEGRATION.REFRESHAGGREGATEINVENTORYHEALTH,dw-integration,SQL Server DW,False,direct
