from_object,from_layer,to_object,to_layer,package,via
A.REGIONCODE,unknown,STG.CUSTOMERADDRESS,staging-stg,STG_Load_CustomerAddress,proc:STG.USP_NORMALIZEADDRESS
A.REGIONCODE,unknown,WORK.CUSTOMERADDRESSSTANDARDIZED,staging-work,STG_Load_CustomerAddress,proc:STG.USP_NORMALIZEADDRESS
AGG.CALENDAR MONTH,unknown,AGGREGATE.MONTHLY SALES SUMMARY,dw-aggregate,AGG_Refresh_MonthlySalesSummary,proc:INTEGRATION.USP_REFRESHAGGREGATEMONTHLYSALES
AGG.CALENDAR MONTH,unknown,AGGREGATE.PRODUCT PERFORMANCE,dw-aggregate,AGG_Refresh_ProductPerformance,proc:INTEGRATION.USP_REFRESHAGGREGATEPRODUCTPERFORMANCE
AGG.CALENDAR MONTH,unknown,AGGREGATE.REGIONAL SALES PERFORMANCE,dw-aggregate,AGG_Refresh_RegionalSalesPerformance,proc:INTEGRATION.USP_REFRESHAGGREGATEREGIONALSALES
AGG.SALES DATE,unknown,AGGREGATE.DAILY SALES SUMMARY,dw-aggregate,AGG_Refresh_DailySalesSummary,proc:INTEGRATION.USP_REFRESHAGGREGATEDAILYSALES
AGGREGATE.CUSTOMER 360,dw-aggregate,REPORT.PUBLISHSTATE,sqlserver-dw,AGG_Publish_ReportingLayer,proc:INTEGRATION.USP_PUBLISHREPORTINGLAYER
AGGREGATE.CUSTOMER AR POSITION,sqlserver-dw,AGGREGATE.CUSTOMER 360,dw-aggregate,AGG_Refresh_Customer360,direct
AGGREGATE.CUSTOMER AR POSITION,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_Customer360,direct
AGGREGATE.CUSTOMER LOYALTY POSITION,sqlserver-dw,AGGREGATE.CUSTOMER 360,dw-aggregate,AGG_Refresh_Customer360,direct
AGGREGATE.CUSTOMER LOYALTY POSITION,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_Customer360,direct
AGGREGATE.CUSTOMER RETURN POSITION,sqlserver-dw,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGG_Refresh_CustomerRolling12Month,direct
AGGREGATE.CUSTOMER RETURN POSITION,sqlserver-dw,ERR.REJECTEDCONSTRAINTVIOLATION,staging-err,AGG_Refresh_CustomerRolling12Month,direct
AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGGREGATE.CUSTOMER 360,dw-aggregate,AGG_Refresh_Customer360,proc:INTEGRATION.USP_REFRESHAGGREGATECUSTOMER360
AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGGREGATE.CUSTOMER 360,dw-aggregate,AGG_Refresh_CustomerRolling12Month,proc:INTEGRATION.USP_REFRESHAGGREGATECUSTOMER360
AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGG_Refresh_Customer360,proc:INTEGRATION.USP_REFRESHAGGREGATECUSTOMER360
AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGGREGATE.CUSTOMER ROLLING 12 MONTH,dw-aggregate,AGG_Refresh_CustomerRolling12Month,direct
