FEED_CD|SOURCE_ROW_NO|REJECT_CD|RAW_ROW_TX|DETECTED_TS
PARTNER_NA|81|FIELD_COUNT_HIGH|PTR-NA-0002 N00000000 05/11/2022 PONA52437584 CONF/ITM-000745-A 2 101.79 203.58 CAD HST-CA 26.47 NA STRNA6461 MARKET EXTRA_80|2025-01-06 03:15:00
PARTNER_NA|280|NEGATIVE_QUANTITY|PTR-NA-0002 N00000006 10/21/2023 PONA98441477 APP/ITM-000530-A -3 212.65 637.95 MXN IVA-MX 102.07 NA STRNA7628 RETAIL|2025-01-06 03:15:00
PARTNER_NA|308|UNPARSEABLE_DATE|PTR-NA-0002 N00000121 20220731 PONA89236141 APP/ITM-000500-A 12 97.36 1168.32 SGD SALES_TAX-US 84.7 NA STRNA7398 ONLINE|2025-01-06 03:15:00
PARTNER_NA|310|FIELD_COUNT_HIGH|PTR-NA-0001 N00000328 08/02/2019 PONA23785789 ELEC/ITM-000630-A 1 225.99 225.99 EUR SALES_TAX-US 16.38 NA STRNA5522 MARKET EXTRA_309|2025-01-06 03:15:00
PARTNER_EU|8|VALUE_TOO_LONG|PTR-EU-0002-PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP E00000098 30/07/2019 POEU41403638 PKG/ITM-000500-A 2 97.36 194.72 EUR VAT-GB-STD 38.94 EU STREU8932 WHOLESALE|2025-01-06 03:15:00
PARTNER_EU|18|FIELD_COUNT_LOW|PTR-EU-0002 E00000379 26/03/2021 POEU03958919 SEAS/ITM-001287-A 12 151.18 1814.16 EUR VAT-GB-STD 362.83 EU|2025-01-06 03:15:00
PARTNER_EU|23|MISSING_BUSINESS_KEY| E00000000 15/06/2022 POEU73016113 PKG/ITM-000547-A 1 34.51 34.51 EUR VAT-GB-STD 6.9 EU STREU1977 WHOLESALE|2025-01-06 03:15:00
PARTNER_EU|91|NEGATIVE_QUANTITY|PTR-EU-0002 E00000000 06/05/2021 POEU06203875 ELEC/ITM-000527-A -2 29.83 59.66 EUR VAT-GB-STD 11.93 EU STREU5203 MARKET|2025-01-06 03:15:00
PARTNER_EU|280|INVALID_ENCODING|80 84 82 45 69 85 45 48 48 48 49 44 69 48 48 48 48 48 51 54 57 44 48 55 47 48 57 47 50 48 50 50 44 80 79 69 85 53 49 48 56 51 55 48 55 44 65 80 80 47 73 84 77 45 48 48 48 53 49 48 45 65 44 54 44 53 48 54 46 55 52 44 51 48 52 48 46 52 52 44 69 85 82 44 86 65 84 45 68 69 45 83 84 68 44 53 55 55 46 54 56 44 69 85 44 83 84 82 69 85 57 56 56 51 44 82 69 84 65 73 76|2025-01-06 03:15:00
PARTNER_APAC|22|UNPARSEABLE_DATE|PTR-AP-0001 A00000077 20220731 POAP53074571 TOY/ITM-001105-A 1 395.49 395.49 AUD GSTAU 39.54 APAC STRAP9376 WHOLESALE|2025-01-06 03:15:00
PARTNER_APAC|72|UNKNOWN_REFERENCE_CODE|PTR-AP-0002 A00000047 20220805 POAP31397452 PKG/ITM-000765-A 1 541.77 541.77 AUD LEGACY7 54.17 APAC STRAP9531 WHOLESALE|2025-01-06 03:15:00
